iter	Passed	Remaining
931	2168	158
932	2170	155
933	2173	153
934	2175	151
935	2178	148
936	2181	146
937	2183	144
938	2186	142
939	2188	139
940	2190	137
941	2192	135
942	2194	132
943	2197	130
944	2199	128
945	2202	125
946	2204	123
947	2207	121
948	2213	118
949	2216	116
950	2219	114
951	2222	112
952	2225	109
953	2228	107
954	2230	105
955	2233	102
956	2236	100
957	2240	98
958	2242	95
959	2244	93
960	2247	91
961	2249	88
962	2251	86
963	2253	84
964	2255	81
965	2257	79
966	2259	77
967	2261	74
968	2263	72
969	2266	70
970	2268	67
971	2270	65
972	2272	63
973	2274	60
974	2276	58
975	2279	56
976	2281	53
977	2283	51
978	2285	49
979	2287	46
980	2289	44
981	2292	42
982	2294	39
983	2296	37
984	2298	35
985	2300	32
986	2302	30
987	2304	27
988	2306	25
989	2308	23
990	2311	20
991	2313	18
992	2315	16
993	2317	13
994	2320	11
995	2322	9
996	2324	6
997	2326	4
998	2328	2
999	2331	0
